geoid,geoid20,year,denom_occupied_housing,no_vehicle_count,no_vehicle_pct
1400000US06037113237,6037113237,2023,1551,80,5.1579628
1400000US06037113238,6037113238,2023,1445,101,6.9896193
1400000US06037113239,6037113239,2023,857,173,20.186697
1400000US06037113301,6037113301,2023,1637,200,12.217471
1400000US06037113303,6037113303,2023,1355,57,4.2066422
1400000US06037113322,6037113322,2023,1540,98,6.3636365
1400000US06037113323,6037113323,2023,1487,74,4.9764628
1400000US06037113324,6037113324,2023,995,59,5.9296484
1400000US06037113423,6037113423,2023,868,16,1.843318
1400000US06037113424,6037113424,2023,1087,103,9.4756212
1400000US06037113425,6037113425,2023,1346,94,6.9836555
1400000US06037113426,6037113426,2023,735,29,3.9455783
1400000US06037113427,6037113427,2023,936,75,8.0128202
1400000US06037113428,6037113428,2023,1101,26,2.3614895
1400000US06037115101,6037115101,2023,1866,178,9.5391207
1400000US06037115103,6037115103,2023,14,0,0
1400000US06037115104,6037115104,2023,1984,242,12.19758
1400000US06037115202,6037115202,2023,2077,118,5.6812711
1400000US06037115203,6037115203,2023,1010,174,17.227722
1400000US06037115204,6037115204,2023,1669,89,5.3325343
1400000US06037115301,6037115301,2023,1647,76,4.6144505
1400000US06037115302,6037115302,2023,1052,55,5.228137
1400000US06037115401,6037115401,2023,1909,118,6.1812468
1400000US06037115403,6037115403,2023,1081,98,9.0656796
1400000US06037115404,6037115404,2023,844,12,1.421801
1400000US06037117101,6037117101,2023,1490,82,5.5033555
1400000US06037117102,6037117102,2023,805,16,1.9875777
1400000US06037117201,6037117201,2023,1195,234,19.581591
1400000US06037117202,6037117202,2023,945,170,17.989418
1400000US06037117301,6037117301,2023,1146,20,1.7452008
1400000US06037117302,6037117302,2023,1603,136,8.4840927
1400000US06037117303,6037117303,2023,1182,7,.59221661
1400000US06037117404,6037117404,2023,1403,29,2.0669992
1400000US06037117405,6037117405,2023,826,69,8.3535109
1400000US06037117407,6037117407,2023,1006,114,11.332008
1400000US06037117408,6037117408,2023,746,49,6.5683646
1400000US06037117510,6037117510,2023,1062,95,8.9453859
1400000US06037117520,6037117520,2023,1050,96,9.1428576
1400000US06037117530,6037117530,2023,1722,309,17.94425
1400000US06037119001,6037119001,2023,1031,52,5.0436468
1400000US06037119003,6037119003,2023,826,16,1.9370461
1400000US06037119004,6037119004,2023,681,63,9.2511015
1400000US06037119201,6037119201,2023,869,110,12.658228
1400000US06037119202,6037119202,2023,1136,8,.70422536
1400000US06037119310,6037119310,2023,1244,274,22.025724
1400000US06037119320,6037119320,2023,1300,102,7.8461537
1400000US06037119340,6037119340,2023,1008,126,12.5
1400000US06037119341,6037119341,2023,871,125,14.35132
1400000US06037119342,6037119342,2023,783,33,4.2145596
1400000US06037119400,6037119400,2023,1102,21,1.9056262
1400000US06037119700,6037119700,2023,1313,49,3.7319117
1400000US06037119801,6037119801,2023,623,0,0
1400000US06037119802,6037119802,2023,799,61,7.6345429
1400000US06037119900,6037119900,2023,1246,27,2.1669343
1400000US06037120010,6037120010,2023,758,42,5.5408969
1400000US06037120020,6037120020,2023,1271,59,4.642014
1400000US06037120030,6037120030,2023,700,92,13.142858
1400000US06037120103,6037120103,2023,840,177,21.071428
1400000US06037120104,6037120104,2023,819,124,15.140415
1400000US06037120105,6037120105,2023,850,162,19.058823
1400000US06037120106,6037120106,2023,1315,104,7.9087453
1400000US06037120107,6037120107,2023,1115,113,10.134529
1400000US06037120108,6037120108,2023,1418,86,6.0648799
1400000US06037120300,6037120300,2023,1530,130,8.4967318
1400000US06037120400,6037120400,2023,2101,236,11.232746
1400000US06037121010,6037121010,2023,1181,78,6.6045723
1400000US06037121020,6037121020,2023,1039,111,10.68335
1400000US06037121101,6037121101,2023,1014,49,4.8323469
1400000US06037121102,6037121102,2023,756,50,6.6137567
1400000US06037121210,6037121210,2023,812,72,8.8669949
1400000US06037121221,6037121221,2023,516,14,2.7131784
1400000US06037121222,6037121222,2023,1236,127,10.275081
1400000US06037121600,6037121600,2023,781,88,11.267606
1400000US06037121801,6037121801,2023,1196,103,8.6120405
1400000US06037121802,6037121802,2023,714,104,14.565826
1400000US06037121900,6037121900,2023,1052,33,3.1368821
1400000US06037122000,6037122000,2023,1576,86,5.4568529
1400000US06037122120,6037122120,2023,1212,77,6.3531351
1400000US06037122121,6037122121,2023,794,58,7.3047857
1400000US06037122122,6037122122,2023,709,102,14.386459
1400000US06037122200,6037122200,2023,837,34,4.0621266
1400000US06037122410,6037122410,2023,1223,101,8.2583809
1400000US06037122420,6037122420,2023,1285,61,4.7470818
1400000US06037123010,6037123010,2023,976,36,3.6885245
1400000US06037123020,6037123020,2023,694,48,6.9164267
1400000US06037123103,6037123103,2023,1603,63,3.930131
1400000US06037123104,6037123104,2023,1626,154,9.4710951
1400000US06037123203,6037123203,2023,1016,79,7.7755904
1400000US06037123204,6037123204,2023,1044,85,8.1417627
1400000US06037123205,6037123205,2023,769,22,2.8608582
1400000US06037123206,6037123206,2023,816,88,10.784314
1400000US06037123301,6037123301,2023,1692,116,6.855792
1400000US06037123303,6037123303,2023,874,110,12.585813
1400000US06037123304,6037123304,2023,1802,381,21.143175
1400000US06037123410,6037123410,2023,1220,209,17.131147
1400000US06037123420,6037123420,2023,1549,225,14.5255
1400000US06037123510,6037123510,2023,1601,257,16.052467
1400000US06037123520,6037123520,2023,776,10,1.2886598
1400000US06037123601,6037123601,2023,1933,105,5.4319711
1400000US06037123602,6037123602,2023,1201,194,16.153206
1400000US06037123700,6037123700,2023,1737,224,12.895798
1400000US06037123800,6037123800,2023,2275,356,15.648352
1400000US06037123901,6037123901,2023,1466,34,2.319236
1400000US06037123902,6037123902,2023,1100,26,2.3636363
1400000US06037124000,6037124000,2023,2190,168,7.6712327
1400000US06037124102,6037124102,2023,1501,72,4.796802
1400000US06037124103,6037124103,2023,567,63,11.111111
1400000US06037124104,6037124104,2023,1060,129,12.169811
1400000US06037124105,6037124105,2023,839,100,11.918951
1400000US06037124201,6037124201,2023,1085,31,2.8571429
1400000US06037124203,6037124203,2023,797,85,10.664993
1400000US06037124204,6037124204,2023,1040,111,10.673077
1400000US06037124300,6037124300,2023,1268,90,7.0977917
1400000US06037124400,6037124400,2023,1639,126,7.6876144
1400000US06037124500,6037124500,2023,1256,77,6.1305733
1400000US06037124600,6037124600,2023,1312,29,2.2103658
1400000US06037124700,6037124700,2023,2538,103,4.0583138
1400000US06037124902,6037124902,2023,1506,192,12.749004
