geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037106520,6037106520,2023,1483,87029,87029
1400000US06037106603,6037106603,2023,1216,142500,142500
1400000US06037106604,6037106604,2023,1281,66611,66611
1400000US06037106641,6037106641,2023,793,118387,118387
1400000US06037106642,6037106642,2023,1235,139145,139145
1400000US06037106643,6037106643,2023,1482,201250,201250
1400000US06037106645,6037106645,2023,1297,151389,151389
1400000US06037106646,6037106646,2023,1015,122734,122734
1400000US06037106648,6037106648,2023,1200,69125,69125
1400000US06037106649,6037106649,2023,676,104773,104773
1400000US06037107010,6037107010,2023,788,92788,92788
1400000US06037107020,6037107020,2023,1264,81429,81429
1400000US06037108101,6037108101,2023,785,151027,151027
1400000US06037108102,6037108102,2023,1258,131014,131014
1400000US06037108103,6037108103,2023,1049,147893,147893
1400000US06037108104,6037108104,2023,593,144167,144167
1400000US06037108202,6037108202,2023,3921,185852,185852
1400000US06037108203,6037108203,2023,1208,151250,151250
1400000US06037108204,6037108204,2023,658,177283,177283
1400000US06037109100,6037109100,2023,965,72396,72396
1400000US06037109200,6037109200,2023,1136,120016,120016
1400000US06037109300,6037109300,2023,982,121750,121750
1400000US06037109400,6037109400,2023,1170,99718,99718
1400000US06037109500,6037109500,2023,1029,83561,83561
1400000US06037109601,6037109601,2023,1356,119063,119063
1400000US06037109603,6037109603,2023,1268,83878,83878
1400000US06037109604,6037109604,2023,913,105015,105015
1400000US06037109700,6037109700,2023,1442,117104,117104
1400000US06037109800,6037109800,2023,1524,76681,76681
1400000US06037111100,6037111100,2023,993,109600,109600
1400000US06037111201,6037111201,2023,1107,114489,114489
1400000US06037111202,6037111202,2023,1956,109137,109137
1400000US06037111204,6037111204,2023,1903,178706,178706
1400000US06037111205,6037111205,2023,1401,107028,107028
1400000US06037111206,6037111206,2023,1505,148929,148929
1400000US06037111302,6037111302,2023,1845,99457,99457
1400000US06037111303,6037111303,2023,1484,110469,110469
1400000US06037111304,6037111304,2023,1422,53989,53989
1400000US06037111401,6037111401,2023,686,127115,127115
1400000US06037111402,6037111402,2023,2180,58650,58650
1400000US06037113101,6037113101,2023,1223,129038,129038
1400000US06037113102,6037113102,2023,1041,215756,215756
1400000US06037113211,6037113211,2023,1735,111806,111806
1400000US06037113212,6037113212,2023,1000,88917,88917
1400000US06037113213,6037113213,2023,1747,130446,130446
1400000US06037113231,6037113231,2023,889,132981,132981
1400000US06037113232,6037113232,2023,1577,150678,150678
1400000US06037113234,6037113234,2023,1709,72769,72769
1400000US06037113235,6037113235,2023,714,89744,89744
1400000US06037113237,6037113237,2023,1670,142917,142917
1400000US06037113238,6037113238,2023,1510,64717,64717
1400000US06037113239,6037113239,2023,871,50625,50625
1400000US06037113301,6037113301,2023,1825,127448,127448
1400000US06037113303,6037113303,2023,1366,111893,111893
1400000US06037113322,6037113322,2023,1567,120364,120364
1400000US06037113323,6037113323,2023,1539,97064,97064
1400000US06037113324,6037113324,2023,1046,100960,100960
1400000US06037113423,6037113423,2023,868,99000,99000
1400000US06037113424,6037113424,2023,1316,113472,113472
1400000US06037113425,6037113425,2023,1375,69559,69559
1400000US06037113426,6037113426,2023,735,77070,77070
1400000US06037113427,6037113427,2023,982,62266,62266
1400000US06037113428,6037113428,2023,1115,132614,132614
1400000US06037115101,6037115101,2023,1972,157829,157829
1400000US06037115103,6037115103,2023,27,,
1400000US06037115104,6037115104,2023,2193,86522,86522
1400000US06037115202,6037115202,2023,2144,66679,66679
1400000US06037115203,6037115203,2023,1252,76121,76121
1400000US06037115204,6037115204,2023,1801,100195,100195
1400000US06037115301,6037115301,2023,1770,95152,95152
1400000US06037115302,6037115302,2023,1075,76250,76250
1400000US06037115401,6037115401,2023,2071,62271,62271
1400000US06037115403,6037115403,2023,1106,72036,72036
1400000US06037115404,6037115404,2023,883,104286,104286
1400000US06037117101,6037117101,2023,1546,110761,110761
1400000US06037117102,6037117102,2023,861,94844,94844
1400000US06037117201,6037117201,2023,1257,54301,54301
1400000US06037117202,6037117202,2023,993,98438,98438
1400000US06037117301,6037117301,2023,1163,146696,146696
1400000US06037117302,6037117302,2023,1717,115708,115708
1400000US06037117303,6037117303,2023,1207,129211,129211
1400000US06037117404,6037117404,2023,1435,130034,130034
1400000US06037117405,6037117405,2023,906,49615,49615
1400000US06037117407,6037117407,2023,1025,53512,53512
1400000US06037117408,6037117408,2023,756,49786,49786
1400000US06037117510,6037117510,2023,1137,57984,57984
1400000US06037117520,6037117520,2023,1097,50735,50735
1400000US06037117530,6037117530,2023,1763,42661,42661
1400000US06037119001,6037119001,2023,1040,113114,113114
1400000US06037119003,6037119003,2023,855,99559,99559
1400000US06037119004,6037119004,2023,758,90417,90417
1400000US06037119201,6037119201,2023,887,108807,108807
1400000US06037119202,6037119202,2023,1152,75930,75930
1400000US06037119310,6037119310,2023,1263,68462,68462
1400000US06037119320,6037119320,2023,1300,87903,87903
1400000US06037119340,6037119340,2023,1067,46250,46250
1400000US06037119341,6037119341,2023,871,53623,53623
1400000US06037119342,6037119342,2023,818,76713,76713
1400000US06037119400,6037119400,2023,1127,99875,99875
1400000US06037119700,6037119700,2023,1386,90994,90994
1400000US06037119801,6037119801,2023,623,117708,117708
1400000US06037119802,6037119802,2023,830,94063,94063
1400000US06037119900,6037119900,2023,1294,86500,86500
1400000US06037120010,6037120010,2023,758,59938,59938
1400000US06037120020,6037120020,2023,1288,42708,42708
1400000US06037120030,6037120030,2023,727,48281,48281
1400000US06037120103,6037120103,2023,857,47069,47069
1400000US06037120104,6037120104,2023,836,52198,52198
1400000US06037120105,6037120105,2023,875,47903,47903
1400000US06037120106,6037120106,2023,1348,41045,41045
1400000US06037120107,6037120107,2023,1115,41424,41424
1400000US06037120108,6037120108,2023,1466,58816,58816
1400000US06037120300,6037120300,2023,1547,56364,56364
1400000US06037120400,6037120400,2023,2101,67679,67679
1400000US06037121010,6037121010,2023,1257,76133,76133
1400000US06037121020,6037121020,2023,1140,67784,67784
1400000US06037121101,6037121101,2023,1027,67778,67778
1400000US06037121102,6037121102,2023,833,81111,81111
1400000US06037121210,6037121210,2023,858,77195,77195
1400000US06037121221,6037121221,2023,533,90417,90417
1400000US06037121222,6037121222,2023,1297,79167,79167
1400000US06037121600,6037121600,2023,881,95250,95250
1400000US06037121801,6037121801,2023,1296,50357,50357
1400000US06037121802,6037121802,2023,797,96304,96304
1400000US06037121900,6037121900,2023,1295,57381,57381
1400000US06037122000,6037122000,2023,1609,96763,96763
1400000US06037122120,6037122120,2023,1212,67083,67083
1400000US06037122121,6037122121,2023,803,57500,57500
1400000US06037122122,6037122122,2023,746,47799,47799
1400000US06037122200,6037122200,2023,940,74293,74293
1400000US06037122410,6037122410,2023,1260,65060,65060
1400000US06037122420,6037122420,2023,1326,76250,76250
1400000US06037123010,6037123010,2023,1029,50136,50136
1400000US06037123020,6037123020,2023,752,83968,83968
1400000US06037123103,6037123103,2023,1689,87011,87011
1400000US06037123104,6037123104,2023,1800,71606,71606
1400000US06037123203,6037123203,2023,1016,41923,41923
1400000US06037123204,6037123204,2023,1096,67500,67500
1400000US06037123205,6037123205,2023,811,60417,60417
1400000US06037123206,6037123206,2023,867,53036,53036
1400000US06037123301,6037123301,2023,1751,69118,69118
1400000US06037123303,6037123303,2023,917,72109,72109
1400000US06037123304,6037123304,2023,1868,46300,46300
1400000US06037123410,6037123410,2023,1272,45167,45167
1400000US06037123420,6037123420,2023,1640,56519,56519
1400000US06037123510,6037123510,2023,1700,51546,51546
1400000US06037123520,6037123520,2023,841,59643,59643
1400000US06037123601,6037123601,2023,2023,87295,87295
1400000US06037123602,6037123602,2023,1302,69311,69311
1400000US06037123700,6037123700,2023,1826,93201,93201
1400000US06037123800,6037123800,2023,2370,92964,92964
1400000US06037123901,6037123901,2023,1620,56333,56333
1400000US06037123902,6037123902,2023,1161,86583,86583
1400000US06037124000,6037124000,2023,2298,82127,82127
1400000US06037124102,6037124102,2023,1600,76315,76315
1400000US06037124103,6037124103,2023,596,70350,70350
1400000US06037124104,6037124104,2023,1119,53775,53775
1400000US06037124105,6037124105,2023,888,66726,66726
1400000US06037124201,6037124201,2023,1175,73079,73079
1400000US06037124203,6037124203,2023,833,79570,79570
1400000US06037124204,6037124204,2023,1068,52451,52451
1400000US06037124300,6037124300,2023,1437,69909,69909
1400000US06037124400,6037124400,2023,1726,86713,86713
1400000US06037124500,6037124500,2023,1308,77635,77635
1400000US06037124600,6037124600,2023,1485,100257,100257
1400000US06037124700,6037124700,2023,2642,110375,110375
1400000US06037124902,6037124902,2023,1660,62051,62051
1400000US06037124903,6037124903,2023,1735,78575,78575
1400000US06037125101,6037125101,2023,2269,81944,81944
1400000US06037125102,6037125102,2023,928,164313,164313
1400000US06037125200,6037125200,2023,2200,85200,85200
1400000US06037125310,6037125310,2023,2499,58548,58548
1400000US06037125321,6037125321,2023,1506,61625,61625
1400000US06037125322,6037125322,2023,1806,47991,47991
1400000US06037125402,6037125402,2023,2255,88943,88943
1400000US06037125403,6037125403,2023,1593,85956,85956
1400000US06037125404,6037125404,2023,1957,79967,79967
1400000US06037125501,6037125501,2023,1748,60714,60714
1400000US06037125502,6037125502,2023,2137,84107,84107
1400000US06037125600,6037125600,2023,1377,110318,110318
1400000US06037127102,6037127102,2023,1665,61848,61848
1400000US06037127103,6037127103,2023,1405,56071,56071
1400000US06037127104,6037127104,2023,1449,64678,64678
1400000US06037127210,6037127210,2023,2020,64000,64000
1400000US06037127220,6037127220,2023,1796,46005,46005
1400000US06037127300,6037127300,2023,1455,81049,81049
1400000US06037127400,6037127400,2023,2027,63587,63587
1400000US06037127520,6037127520,2023,1467,52290,52290
1400000US06037127603,6037127603,2023,915,58460,58460
1400000US06037127604,6037127604,2023,1557,47724,47724
1400000US06037127605,6037127605,2023,1233,71500,71500
1400000US06037127606,6037127606,2023,1170,66383,66383
1400000US06037127711,6037127711,2023,1185,93194,93194
1400000US06037127712,6037127712,2023,1644,64239,64239
1400000US06037127803,6037127803,2023,1906,70500,70500
1400000US06037127804,6037127804,2023,1751,68790,68790
1400000US06037127805,6037127805,2023,1185,65952,65952
1400000US06037127806,6037127806,2023,1367,81250,81250
1400000US06037127910,6037127910,2023,1677,68981,68981
1400000US06037127920,6037127920,2023,1541,71042,71042
1400000US06037128101,6037128101,2023,1205,82232,82232
1400000US06037128102,6037128102,2023,1666,57558,57558
1400000US06037128210,6037128210,2023,1648,44316,44316
1400000US06037128220,6037128220,2023,1284,60794,60794
1400000US06037128302,6037128302,2023,1610,57700,57700
1400000US06037128303,6037128303,2023,1198,43750,43750
1400000US06037128400,6037128400,2023,1923,132931,132931
1400000US06037128500,6037128500,2023,2269,121500,121500
1400000US06037128601,6037128601,2023,1826,71893,71893
1400000US06037128602,6037128602,2023,1292,87574,87574
1400000US06037128703,6037128703,2023,1811,101705,101705
1400000US06037128704,6037128704,2023,1030,127422,127422
1400000US06037128801,6037128801,2023,2184,83125,83125
1400000US06037128802,6037128802,2023,2306,96818,96818
1400000US06037128910,6037128910,2023,1999,108321,108321
1400000US06037131021,6037131021,2023,1041,60609,60609
1400000US06037131022,6037131022,2023,1094,65000,65000
1400000US06037131023,6037131023,2023,829,74954,74954
1400000US06037131024,6037131024,2023,1148,97083,97083
1400000US06037131100,6037131100,2023,1076,107500,107500
1400000US06037131200,6037131200,2023,1225,130500,130500
1400000US06037131300,6037131300,2023,1197,93594,93594
1400000US06037131400,6037131400,2023,1916,101500,101500
1400000US06037131600,6037131600,2023,1481,84773,84773
1400000US06037131701,6037131701,2023,1867,76326,76326
1400000US06037131702,6037131702,2023,1260,70962,70962
1400000US06037131801,6037131801,2023,1077,60185,60185
1400000US06037131802,6037131802,2023,819,96742,96742
1400000US06037131900,6037131900,2023,1427,135442,135442
1400000US06037132001,6037132001,2023,1192,116167,116167
1400000US06037132002,6037132002,2023,1165,106890,106890
1400000US06037132101,6037132101,2023,1693,71932,71932
1400000US06037132102,6037132102,2023,2159,74313,74313
1400000US06037132301,6037132301,2023,1482,60517,60517
1400000US06037132302,6037132302,2023,994,108492,108492
1400000US06037132501,6037132501,2023,1368,91231,91231
1400000US06037132502,6037132502,2023,1355,61354,61354
1400000US06037132700,6037132700,2023,1772,81625,81625
1400000US06037132900,6037132900,2023,1387,102825,102825
1400000US06037133000,6037133000,2023,1474,100385,100385
1400000US06037133101,6037133101,2023,644,109211,109211
1400000US06037133102,6037133102,2023,1355,60741,60741
1400000US06037134001,6037134001,2023,923,90625,90625
1400000US06037134002,6037134002,2023,1217,72901,72901
1400000US06037134101,6037134101,2023,1448,92130,92130
1400000US06037134103,6037134103,2023,1395,78750,78750
1400000US06037134104,6037134104,2023,1391,72866,72866
1400000US06037134201,6037134201,2023,1374,99545,99545
1400000US06037134302,6037134302,2023,1403,124779,124779
1400000US06037134303,6037134303,2023,1969,109063,109063
1400000US06037134304,6037134304,2023,945,75104,75104
1400000US06037134305,6037134305,2023,1212,55042,55042
1400000US06037134306,6037134306,2023,1461,53170,53170
1400000US06037134421,6037134421,2023,1600,145048,145048
1400000US06037134422,6037134422,2023,1716,168889,168889
1400000US06037134423,6037134423,2023,1373,134018,134018
1400000US06037134424,6037134424,2023,1058,153946,153946
1400000US06037134520,6037134520,2023,2176,55271,55271
1400000US06037134521,6037134521,2023,772,53413,53413
1400000US06037134522,6037134522,2023,1524,56402,56402
1400000US06037134710,6037134710,2023,1647,54715,54715
1400000US06037134720,6037134720,2023,1807,103553,103553
1400000US06037134801,6037134801,2023,1156,94559,94559
1400000US06037134802,6037134802,2023,914,80547,80547
1400000US06037134901,6037134901,2023,1056,82435,82435
1400000US06037134904,6037134904,2023,1528,98173,98173
1400000US06037134905,6037134905,2023,3310,101628,101628
1400000US06037134906,6037134906,2023,1182,86275,86275
1400000US06037134907,6037134907,2023,2053,92020,92020
1400000US06037135102,6037135102,2023,1331,154070,154070
1400000US06037135111,6037135111,2023,1334,101157,101157
1400000US06037135113,6037135113,2023,1545,112552,112552
1400000US06037135115,6037135115,2023,2142,100108,100108
1400000US06037135116,6037135116,2023,1039,58750,58750
1400000US06037135201,6037135201,2023,935,127917,127917
1400000US06037135202,6037135202,2023,1550,133839,133839
1400000US06037135204,6037135204,2023,1679,128359,128359
1400000US06037135205,6037135205,2023,781,117031,117031
1400000US06037137000,6037137000,2023,1867,125938,125938
1400000US06037137103,6037137103,2023,2600,85234,85234
1400000US06037137104,6037137104,2023,1048,107153,107153
1400000US06037137202,6037137202,2023,1470,69526,69526
1400000US06037137203,6037137203,2023,858,149519,149519
1400000US06037137301,6037137301,2023,829,188857,188857
1400000US06037137302,6037137302,2023,1637,176523,176523
1400000US06037137401,6037137401,2023,1854,146406,146406
1400000US06037137402,6037137402,2023,2208,143672,143672
1400000US06037137501,6037137501,2023,2138,98555,98555
1400000US06037137502,6037137502,2023,1904,144450,144450
1400000US06037137504,6037137504,2023,706,208750,208750
1400000US06037138000,6037138000,2023,1952,139855,139855
1400000US06037139001,6037139001,2023,2361,113972,113972
1400000US06037139200,6037139200,2023,2430,96690,96690
1400000US06037139301,6037139301,2023,1641,162708,162708
1400000US06037139302,6037139302,2023,2064,82066,82066
1400000US06037139303,6037139303,2023,2300,67891,67891
1400000US06037139401,6037139401,2023,1203,81815,81815
1400000US06037139402,6037139402,2023,1035,159926,159926
1400000US06037139502,6037139502,2023,1278,126875,126875
1400000US06037139504,6037139504,2023,1946,59178,59178
1400000US06037139505,6037139505,2023,1598,44913,44913
1400000US06037139506,6037139506,2023,1503,58295,58295
1400000US06037139600,6037139600,2023,2466,90900,90900
1400000US06037139701,6037139701,2023,2376,183688,183688
1400000US06037139703,6037139703,2023,983,240083,240083
1400000US06037139704,6037139704,2023,1102,136913,136913
1400000US06037139705,6037139705,2023,1345,250000,250000
1400000US06037139801,6037139801,2023,1267,205000,205000
1400000US06037139802,6037139802,2023,1431,229792,229792
1400000US06037141101,6037141101,2023,2638,85000,85000
1400000US06037141102,6037141102,2023,1507,114009,114009
1400000US06037141201,6037141201,2023,2361,95735,95735
1400000US06037141202,6037141202,2023,1551,109297,109297
1400000US06037141303,6037141303,2023,1802,85878,85878
1400000US06037141304,6037141304,2023,1688,112781,112781
1400000US06037141305,6037141305,2023,1472,108036,108036
1400000US06037141306,6037141306,2023,1668,102917,102917
1400000US06037141400,6037141400,2023,2111,109961,109961
1400000US06037141500,6037141500,2023,1171,215272,215272
1400000US06037141600,6037141600,2023,1971,207841,207841
1400000US06037141700,6037141700,2023,1408,250000,250000
1400000US06037143101,6037143101,2023,1186,105254,105254
