OBJECTID,COUNTYFP20,TRACTCE20,GEOID20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Pop23,HH23,LandSqMile,PopDensity,Flag_MHI_P,Source,Comments,Date_Record_Last_Edited,Record_Last_Edited_By,Date_Data_Refers_To,MHI23,ShapeSTArea,ShapeSTLength
8355,7,3100,6007003100,12324360,0,39.4895646,-121.509062,4799,1601,4.7585,1009,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,90757,20719747.63,24995.0445
8356,7,202,6007000202,1698925,0,39.7639076,-121.849457,3771,1660,0.656,5748,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,60556,2878794.98,7450.497643
8357,65,44927,6065044927,5275227,0,33.7509498,-116.3212439,3663,1912,2.0368,1798,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,91600,7650295.381,11797.14843
8358,65,43812,6065043812,50869409,35531,33.8767216,-116.9530089,6519,3878,19.6408,332,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,61020,74041310.31,51002.36372
8359,85,502701,6085502701,1729302,15380,37.2711908,-121.9382471,5670,2129,0.6677,8492,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,136792,2760016.183,7579.824611
8360,85,502800,6085502800,1756147,0,37.255728,-121.9230305,4417,1488,0.6781,6514,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,179722,2777043.886,6965.726593
8361,85,502903,6085502903,1882830,0,37.2779339,-121.9050522,5341,1903,0.727,7347,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,233750,2979115.575,7637.460713
8362,85,502906,6085502906,1544298,0,37.2478128,-121.9014134,4698,1639,0.5963,7879,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,123576,2441527.689,6320.002644
8363,85,503110,6085503110,765474,0,37.3330764,-121.8498294,3915,967,0.2956,13244,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,79196,1212936.231,5422.888045
8364,7,601,6007000601,1807964,0,39.7446519,-121.8643171,3414,1413,0.6981,4890,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,103682,3061858.001,7736.263756
